Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
12,Joan Adon\adonjo01,22,WSN,2,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.8,,,
13,Ehire Adrianza\adriaeh01,31,ATL,209,.326,91,.290,.154,2.4%,20.1%,10.1%,84.6,32.9%,27.8%,39.6%,21.5%,0.67,27.8%,57.6%,14.6%,-0.1,-0.2%,6.1,42%,,60%
14,Jesus Aguilar\aguilje01,31,MIA,510,.338,109,.279,.198,4.3%,18.2%,9.0%,89.6,41.0%,26.7%,33.3%,31.7%,0.50,33.1%,53.4%,13.5%,1.3,0.1%,19.3,19%,,31%
15,Nick Ahmed\ahmedni01,31,ARI,473,.280,65,.279,.118,1.1%,22.0%,7.2%,86.2,27.9%,21.6%,47.4%,21.6%,0.93,31.8%,51.4%,16.8%,-1.2,-0.4%,-17.6,32%,78%,58%
16,Keegan Akin\akinke01,26,BAL,2,.000,-129,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,
17,Shogo Akiyama\akiyash01,33,CIN,183,.248,34,.268,.049,0.0%,21.9%,7.7%,86.1,31.7%,27.4%,55.6%,12.9%,1.28,18.5%,57.3%,24.2%,-1.1,-0.7%,-7.6,29%,40%,64%
18,R.J. Alaniz\alanirj01,30,CIN,1,.000,-145,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,
19,Hanser Alberto\alberha01,28,KCR,255,.295,76,.293,.133,0.8%,10.2%,1.6%,83.9,30.3%,24.9%,35.3%,24.9%,0.60,33.5%,52.5%,14.0%,0.3,-0.4%,-2.5,31%,75%,31%
20,Ozzie Albies\albieoz01,24,ATL,686,.346,103,.278,.229,4.4%,18.7%,6.9%,89.5,37.4%,22.8%,31.3%,38.0%,0.46,33.7%,47.8%,18.5%,1.4,1.2%,17.7,40%,83%,58%
21,Sandy Alcantara\alcansa01,25,MIA,64,.080,-80,.154,.017,0.0%,70.3%,4.7%,60.6,7.1%,6.7%,40.0%,6.7%,3.00,20.0%,40.0%,40.0%,-1.3,-0.3%,-15.0,0%,,25%
22,Sergio Alcantara\alcanse01,24,CHC,255,.286,67,.280,.123,2.0%,29.0%,11.8%,86.8,33.6%,21.5%,46.3%,23.5%,0.88,32.2%,50.3%,17.4%,-1.3,-0.3%,-8.4,33%,100%,55%
23,Tyler Alexander\alexaty01,26,DET,2,.000,-122,.000,.000,0.0%,50.0%,0.0%,,,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.8,,,
24,Jorge Alfaro\alfarjo01,28,MIA,311,.293,73,.354,.098,1.3%,31.8%,3.5%,90.9,49.2%,25.5%,57.1%,15.3%,1.33,19.4%,63.8%,16.8%,-0.1,-0.1%,-8.5,21%,89%,30%
25,Anthony Alford\alforan01,26,PIT,148,.316,102,.371,.173,3.4%,39.2%,8.1%,89.0,42.7%,24.0%,37.3%,37.3%,0.60,25.3%,60.0%,14.7%,-0.3,-0.2%,-7.3,22%,45%,86%
26,Kolby Allard\allarko01,23,TEX,2,.000,-125,.000,.000,0.0%,50.0%,0.0%,85.9,0.0%,0.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,,,
27,Austin Allen\allenau01,27,OAK,8,.359,132,.250,.375,12.5%,37.5%,0.0%,94.2,40.0%,40.0%,40.0%,20.0%,0.67,40.0%,60.0%,0.0%,0.0,0.0%,1.0,100%,,
28,Greg Allen\allengr01,28,NYY,48,.400,139,.400,.162,0.0%,27.1%,10.4%,83.8,24.0%,40.0%,20.0%,24.0%,0.26,40.0%,48.0%,12.0%,0.4,0.2%,1.6,45%,100%,86%
29,Logan Allen\allenlo01,24,CLE,1,.000,-127,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,
30,Abraham Almonte\almonab01,32,ATL,175,.320,88,.255,.182,2.9%,21.7%,14.9%,89.3,41.8%,25.2%,46.8%,21.6%,0.88,33.3%,52.3%,14.4%,-0.1,-0.1%,-1.0,28%,50%,35%
31,Yency Almonte\almonye01,27,COL,3,.000,-144,.000,.000,0.0%,66.7%,0.0%,95.5,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.6,,,
32,Albert Almora\almoral01,27,NYM,54,.143,-27,.171,.058,0.0%,31.5%,3.7%,90.3,45.7%,17.1%,57.1%,14.3%,1.33,31.4%,54.3%,14.3%,-1.2,-1.0%,-9.8,20%,,50%
33,Pete Alonso\alonspe01,26,NYM,637,.377,139,.274,.257,5.8%,19.9%,9.4%,91.0,47.4%,22.8%,39.0%,30.8%,0.64,27.4%,53.0%,19.6%,1.7,1.1%,17.1,24%,100%,27%
34,Jose Altuve\altuvjo01,31,HOU,678,.359,127,.280,.211,4.6%,13.4%,9.7%,86.6,34.9%,23.6%,39.1%,24.6%,0.66,37.1%,52.0%,10.8%,1.5,1.4%,18.1,42%,63%,42%
35,Eddy Alvarez\alvared01,31,MIA,74,.294,74,.244,.141,1.4%,24.3%,5.4%,88.5,37.0%,28.3%,34.8%,30.4%,0.55,30.4%,47.8%,21.7%,-0.4,0.0%,-1.8,32%,100%,83%
36,Jose Alvarez\alvarjo02,32,SFG,5,.348,119,,.000,0.0%,40.0%,40.0%,37.7,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1,50%,,
37,Yordan Álvarez\alvaryo01,24,HOU,598,.369,133,.320,.253,5.5%,24.3%,8.4%,93.0,54.2%,27.6%,37.7%,30.1%,0.61,26.3%,56.5%,17.2%,1.4,1.0%,17.4,34%,100%,40%
38,Adbert Alzolay\alzolad01,26,CHC,33,.089,-76,.111,.032,0.0%,39.4%,3.0%,76.8,5.3%,5.3%,78.9%,0.0%,7.50,5.3%,52.6%,42.1%,-0.7,-0.4%,-7.0,25%,,0%
39,Trey Amburgey\amburtr01,26,NYY,4,.224,32,.000,.000,0.0%,50.0%,0.0%,83.8,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.7,,,
40,Brett Anderson\anderbr04,33,MIL,34,.087,-83,.000,.000,0.0%,41.2%,11.8%,64.1,0.0%,0.0%,56.3%,12.5%,3.00,25.0%,62.5%,12.5%,-0.6,-0.3%,-7.8,50%,,0%
41,Brian Anderson\anderbr06,28,MIA,264,.327,97,.317,.129,2.7%,24.6%,9.9%,88.8,38.7%,20.8%,48.8%,25.0%,0.95,18.5%,61.3%,20.2%,0.0,-0.1%,5.1,21%,100%,28%
42,Chase Anderson\anderch01,33,PHI,14,.000,-195,.000,.000,0.0%,42.9%,0.0%,51.2,12.5%,12.5%,25.0%,0.0%,2.00,25.0%,50.0%,25.0%,-0.2,-0.1%,-2.8,,,
43,Ian Anderson\anderia01,23,ATL,41,.075,-101,.250,.027,0.0%,70.7%,2.4%,63.2,18.2%,18.2%,45.5%,0.0%,2.50,0.0%,63.6%,36.4%,-0.8,-0.5%,-10.6,0%,,
44,Tanner Anderson\anderta01,28,PIT,2,.000,-131,.000,.000,0.0%,50.0%,0.0%,51.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.9,,,
45,Tim Anderson\anderti01,28,CHW,551,.357,124,.372,.159,3.1%,21.6%,4.0%,89.6,42.5%,23.0%,56.0%,19.3%,1.27,24.7%,54.5%,20.8%,1.9,0.5%,14.1,46%,72%,64%
46,Tyler Anderson\anderty01,31,TOT,40,.133,-36,.333,.077,2.5%,72.5%,2.5%,71.3,10.0%,20.0%,50.0%,10.0%,1.67,10.0%,80.0%,10.0%,-0.5,-0.2%,-7.2,0%,,0%
47,Tyler Anderson\anderty01,31,PIT,37,.125,-43,.333,.081,2.7%,73.0%,0.0%,71.3,10.0%,20.0%,50.0%,10.0%,1.67,10.0%,80.0%,10.0%,-0.5,-0.2%,-7.2,0%,,0%
48,Tyler Anderson\anderty01,31,SEA,3,.231,42,,.000,0.0%,66.7%,33.3%,,,,,,,,,,0.0,0.0%,0.0,0%,,
49,John Andreoli\andrejo03,31,SDP,7,.277,72,.333,.167,0.0%,42.9%,14.3%,88.7,33.3%,66.7%,33.3%,0.0%,0.50,66.7%,33.3%,0.0%,0.0,0.0%,-0.6,100%,,50%
50,Elvis Andrus\andruel01,32,OAK,541,.285,78,.283,.076,0.6%,15.0%,5.7%,86.8,34.9%,28.4%,45.4%,17.5%,0.86,26.7%,53.9%,19.4%,-2.4,-1.9%,-23.0,36%,86%,63%
51,Miguel Andujar\andujmi01,26,NYY,162,.289,80,.273,.130,3.7%,17.3%,4.3%,87.1,37.0%,21.3%,52.8%,20.5%,1.12,27.6%,55.9%,16.5%,-1.7,-1.1%,-12.4,32%,0%,50%
52,Tejay Antone\antonte01,27,CIN,5,.174,-52,,.000,0.0%,60.0%,20.0%,20.3,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.3,100%,,
53,Aristides Aquino\aquinar01,27,CIN,204,.306,73,.253,.218,4.9%,36.8%,13.2%,89.0,39.6%,21.8%,29.7%,34.7%,0.42,39.6%,44.6%,15.8%,-1.1,-1.0%,-7.2,28%,50%,53%
54,Jonathan Arauz\arauzjo01,22,BOS,75,.279,61,.191,.185,4.0%,20.0%,10.7%,82.6,30.8%,19.2%,42.3%,19.2%,0.81,26.9%,48.1%,25.0%,-0.2,-0.1%,-6.0,32%,,33%
55,Orlando Arcia\arciaor01,26,TOT,89,.261,43,.230,.111,2.3%,21.4%,7.9%,88.2,38.1%,17.5%,52.4%,20.6%,1.10,28.6%,60.3%,11.1%,-0.5,-0.1%,-0.9,33%,100%,29%
56,Orlando Arcia\arciaor01,26,MIL,11,.082,-76,.125,.000,0.0%,27.3%,0.0%,95.1,62.5%,12.5%,62.5%,25.0%,1.67,12.5%,75.0%,12.5%,-0.1,-0.1%,-1.3,0%,,
57,Orlando Arcia\arciaor01,26,ATL,78,.287,61,.245,.129,2.6%,20.5%,9.0%,87.1,34.5%,18.2%,50.9%,20.0%,1.04,30.9%,58.2%,10.9%,-0.4,0.0%,0.4,35%,100%,29%
58,Nolan Arenado\arenano01,30,STL,653,.344,119,.249,.239,5.2%,14.7%,7.7%,89.0,37.5%,24.8%,31.3%,32.7%,0.46,35.5%,51.0%,13.5%,1.8,1.0%,19.1,28%,100%,44%
59,Kohei Arihara\arihako01,28,TEX,2,.000,-125,.000,.000,0.0%,50.0%,0.0%,93.3,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,0.0%,-0.9,,,
60,Randy Arozarena\arozara01,26,TBR,604,.351,131,.363,.185,3.3%,28.2%,9.3%,89.7,42.8%,22.8%,49.2%,20.6%,0.97,29.7%,52.5%,17.9%,2.2,1.0%,18.9,38%,67%,49%
61,Luis Arraez\arraelu01,24,MIN,479,.326,107,.323,.082,0.4%,10.0%,9.0%,88.4,30.6%,28.5%,46.6%,23.3%,0.87,20.7%,58.8%,20.5%,0.3,-0.1%,7.9,33%,50%,41%
62,Jake Arrieta\arrieja01,35,TOT,30,.185,-3,.429,.000,0.0%,53.3%,6.7%,63.0,18.2%,18.2%,36.4%,0.0%,1.33,18.2%,54.5%,27.3%,-0.6,-0.3%,-4.5,50%,,100%
63,Jake Arrieta\arrieja01,35,CHC,26,.163,-27,.400,.000,0.0%,61.5%,7.7%,66.5,14.3%,28.6%,42.9%,0.0%,1.50,14.3%,57.1%,28.6%,-0.6,-0.3%,-4.5,40%,,100%
64,Jake Arrieta\arrieja01,35,SDP,4,.449,288,.500,.000,0.0%,0.0%,0.0%,57.0,25.0%,0.0%,25.0%,0.0%,1.00,25.0%,50.0%,25.0%,0.0,0.0%,-0.1,100%,,100%
65,Christian Arroyo\arroych01,26,BOS,181,.340,104,.325,.183,3.3%,24.3%,4.4%,85.8,35.5%,25.6%,48.8%,18.2%,0.97,22.3%,58.7%,19.0%,1.4,1.4%,3.0,30%,100%,53%
66,Humberto Arteaga\arteahu01,27,WSN,4,.000,-128,.000,.000,0.0%,0.0%,0.0%,73.5,0.0%,25.0%,50.0%,25.0%,1.00,25.0%,75.0%,0.0%,0.0,0.0%,-0.6,,,
67,Aaron Ashby\ashbyaa01,23,MIL,4,.232,7,,.000,0.0%,50.0%,25.0%,45.8,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.3,0%,,
68,Willians Astudillo\astudwi01,29,MIN,216,.276,71,.221,.139,3.2%,5.6%,1.4%,85.9,33.2%,23.4%,41.1%,22.3%,0.70,27.4%,56.3%,16.2%,-1.6,-0.4%,-14.1,20%,,29%
69,Alex Avila\avilaal01,34,WSN,111,.312,93,.314,.157,0.9%,33.3%,17.1%,87.3,43.4%,22.6%,41.5%,32.1%,0.73,35.8%,54.7%,9.4%,-0.6,-0.2%,-4.5,11%,,13%
70,Pedro Avila\avilape01,24,SDP,1,.000,-124,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
71,Akil Baddoo\baddoak01,22,DET,461,.333,110,.335,.177,2.8%,26.5%,9.8%,86.0,32.3%,22.8%,40.5%,30.6%,0.68,33.0%,47.3%,19.7%,1.2,0.5%,12.3,32%,82%,48%
72,Harrison Bader\baderha01,27,STL,401,.334,112,.306,.193,4.0%,21.2%,6.7%,86.2,31.7%,18.0%,44.0%,28.2%,0.79,28.2%,52.1%,19.7%,0.0,0.0%,2.9,25%,69%,36%
73,Javier Baez\baezja01,28,TOT,547,.358,120,.352,.229,5.7%,33.6%,5.1%,89.7,45.3%,20.2%,46.7%,24.9%,0.89,30.2%,54.8%,15.0%,1.6,0.5%,19.0,34%,78%,58%
74,Javier Baez\baezja01,28,CHC,361,.344,108,.330,.236,6.1%,36.3%,4.2%,90.5,47.1%,17.4%,48.3%,26.6%,0.94,30.0%,58.9%,11.1%,1.0,0.3%,11.0,31%,81%,53%
75,Javier Baez\baezja01,28,NYM,186,.383,143,.390,.216,4.8%,28.5%,7.0%,88.2,42.1%,25.4%,43.9%,21.9%,0.79,30.7%,47.4%,21.9%,0.6,0.2%,8.1,38%,71%,63%
76,Anthony Banda\bandaan01,27,TOT,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,83.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9,,,
77,Anthony Banda\bandaan01,27,NYM,1,.000,-128,.000,.000,0.0%,0.0%,0.0%,83.1,0.0%,0.0%,100.0%,0.0%,,0.0%,0.0%,100.0%,-0.1,-0.1%,-0.9,,,
78,Caleb Baragar\baragca01,27,SFG,2,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.5,,,
79,Daniel Bard\bardda01,36,COL,1,.899,492,1.000,.000,0.0%,0.0%,0.0%,99.9,100.0%,100.0%,0.0%,0.0%,0.00,0.0%,100.0%,0.0%,0.0,0.0%,0.4,100%,,
80,Austin Barnes\barneau01,31,LAD,225,.292,73,.268,.130,2.7%,24.9%,8.9%,84.6,31.7%,20.0%,42.8%,30.3%,0.77,28.3%,57.2%,14.5%,0.2,0.2%,-2.8,36%,100%,26%
81,Charlie Barnes\barnech01,25,MIN,1,.000,-124,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,
82,Tucker Barnhart\barnhtu01,30,CIN,388,.305,71,.324,.121,1.8%,25.8%,7.5%,86.7,31.2%,23.1%,41.4%,28.7%,0.72,32.3%,50.6%,17.1%,-1.1,-0.1%,-7.1,29%,,30%
83,Luis Barrera\barrelu01,25,OAK,8,.223,37,.333,.000,0.0%,25.0%,0.0%,89.0,33.3%,33.3%,33.3%,33.3%,0.50,16.7%,33.3%,50.0%,0.0,0.0%,0.1,33%,,100%
84,Tres Barrera\barretr01,26,WSN,107,.345,117,.328,.121,1.9%,20.6%,11.2%,82.0,24.6%,27.5%,47.8%,14.5%,0.92,21.7%,60.9%,17.4%,0.4,0.0%,2.3,16%,,33%
85,José Barrero\garcijo02,23,CIN,56,.290,58,.303,.120,0.0%,30.4%,5.4%,89.3,36.4%,18.2%,36.4%,39.4%,0.57,36.4%,57.6%,6.1%,-0.3,0.0%,-3.8,25%,100%,50%
86,Jaime Barria\barrija01,24,LAA,3,.000,-128,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.7,,,
87,Joey Bart\bartjo01,24,SFG,6,.283,70,.500,.000,0.0%,33.3%,0.0%,87.1,50.0%,50.0%,25.0%,0.0%,0.33,0.0%,100.0%,0.0%,0.1,0.0%,-0.1,50%,,0%
88,Chris Bassitt\bassich01,32,OAK,2,.000,-121,,.000,0.0%,100.0%,0.0%,,,,,,,,,,-0.1,0.0%,-0.6,,,
89,Trevor Bauer\bauertr01,30,LAD,34,.051,-116,.053,.000,0.0%,32.4%,2.9%,73.7,0.0%,22.7%,54.5%,9.1%,1.71,13.6%,59.1%,27.3%,-0.5,-0.4%,-6.7,0%,,0%
90,Jake Bauers\bauerja01,25,TOT,315,.268,64,.275,.067,1.3%,24.8%,9.5%,87.5,37.9%,26.5%,33.8%,27.9%,0.52,30.4%,55.4%,14.2%,-1.2,-0.7%,-17.4,26%,86%,24%
91,Jake Bauers\bauerja01,25,CLE,113,.262,60,.239,.090,1.8%,23.9%,10.6%,89.1,42.5%,30.1%,35.6%,20.5%,0.57,28.8%,47.9%,23.3%,-0.4,-0.3%,-5.0,17%,0%,33%
92,Jake Bauers\bauerja01,25,SEA,202,.272,66,.295,.055,1.0%,25.3%,8.9%,86.7,35.4%,24.4%,32.8%,32.1%,0.49,31.3%,59.5%,9.2%,-0.7,-0.4%,-12.4,31%,100%,18%
93,Matt Beaty\beatyma01,28,LAD,234,.350,117,.314,.132,3.0%,18.8%,8.6%,86.7,30.6%,22.5%,43.8%,24.4%,0.78,36.9%,44.4%,18.8%,0.9,0.7%,13.6,35%,50%,39%
94,David Bednar\bednada01,26,PIT,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.4,,,
95,Seth Beer\beerse01,24,ARI,10,.575,275,.600,.444,10.0%,30.0%,10.0%,88.5,50.0%,66.7%,0.0%,33.3%,0.00,50.0%,33.3%,16.7%,0.2,0.0%,1.8,75%,,
96,Josh Bell\belljo02,28,WSN,568,.370,134,.276,.215,4.8%,17.8%,11.4%,92.5,52.1%,22.0%,54.3%,21.3%,1.19,25.5%,59.0%,15.5%,0.6,-0.3%,10.5,28%,,39%
97,Cody Bellinger\bellico01,25,LAD,350,.241,37,.196,.137,2.9%,26.9%,8.9%,89.1,34.5%,23.2%,31.3%,33.9%,0.46,33.9%,52.2%,13.8%,-1.5,-1.3%,-22.1,39%,75%,52%
98,Brandon Belt\beltbr01,33,SFG,381,.409,159,.309,.323,7.6%,27.0%,12.6%,87.6,44.8%,21.5%,26.9%,41.7%,0.38,36.8%,44.8%,18.4%,2.1,1.5%,20.4,31%,60%,38%
99,Anthony Bemboom\bemboan01,31,LAA,28,.209,19,.353,.000,0.0%,35.7%,3.6%,79.6,11.8%,29.4%,52.9%,11.8%,1.29,41.2%,35.3%,23.5%,-0.3,-0.2%,-4.1,29%,,50%
100,Anthony Bender\bendean01,26,MIA,2,.000,-131,.000,.000,0.0%,50.0%,0.0%,106.7,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,
101,Andrew Benintendi\beninan01,26,KCR,538,.329,105,.309,.166,3.2%,18.0%,6.7%,89.1,43.2%,21.8%,38.5%,34.5%,0.64,29.0%,54.3%,16.6%,0.8,0.2%,7.4,29%,47%,42%
102,Jose Berrios\berrijo01,27,TOT,4,.000,-201,.000,.000,0.0%,50.0%,0.0%,32.5,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.2,,,
103,Jose Berrios\berrijo01,27,MIN,2,.000,-124,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.3,,,
104,Jose Berrios\berrijo01,27,TOR,2,.000,-356,.000,.000,0.0%,0.0%,0.0%,32.5,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.0,,,
105,Jon Berti\bertijo01,31,MIA,271,.289,74,.265,.103,1.5%,22.5%,11.8%,86.8,38.3%,23.4%,58.9%,13.7%,1.45,16.0%,58.3%,25.7%,-0.6,-0.2%,-3.9,39%,67%,54%
106,Alec Bettinger\bettial01,25,MIL,1,.000,-134,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
107,Mookie Betts\bettsmo01,28,LAD,550,.380,136,.276,.223,4.2%,15.6%,12.4%,90.3,41.3%,23.6%,34.8%,33.0%,0.53,35.6%,50.6%,13.8%,0.4,0.0%,21.5,39%,67%,48%
108,Bo Bichette\bichebo01,23,TOR,690,.365,124,.339,.186,4.2%,19.9%,5.8%,91.4,47.6%,23.9%,49.3%,22.3%,0.97,17.6%,59.8%,22.7%,2.3,1.7%,27.6,44%,96%,51%
109,Phil Bickford\bickfph01,25,TOT,3,.300,79,1.000,.000,0.0%,66.7%,0.0%,94.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1,0%,,
110,Phil Bickford\bickfph01,25,LAD,3,.300,79,1.000,.000,0.0%,66.7%,0.0%,94.8,0.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,0.1,0%,,
111,Shane Bieber\biebesh01,26,CLE,6,.000,-127,.000,.000,0.0%,50.0%,0.0%,80.6,0.0%,0.0%,66.7%,33.3%,2.00,0.0%,100.0%,0.0%,-0.1,-0.1%,-1.9,,,
112,Cavan Biggio\biggica01,26,TOR,294,.298,82,.290,.132,2.4%,26.5%,12.6%,88.4,31.6%,26.0%,37.3%,29.4%,0.61,29.9%,51.4%,18.6%,-1.2,-0.7%,-7.5,22%,75%,39%
113,Braden Bishop\bishobr01,27,SEA,5,.199,0,.500,.000,0.0%,40.0%,0.0%,52.9,33.3%,0.0%,33.3%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.4,50%,,0%
114,Charlie Blackmon\blackch02,34,COL,582,.340,96,.305,.140,2.2%,15.6%,9.3%,87.6,38.5%,24.4%,47.4%,22.3%,0.90,28.2%,57.5%,14.3%,1.6,0.1%,10.9,33%,100%,32%
115,Alex Blandino\blandal01,28,CIN,82,.286,56,.333,.057,0.0%,34.2%,9.8%,83.9,31.0%,28.6%,35.7%,21.4%,0.58,21.4%,61.9%,16.7%,-0.9,-0.5%,-3.3,33%,100%,25%
116,Travis Blankenhorn\blanktr01,24,TOT,24,.292,79,.214,.217,4.2%,33.3%,4.2%,96.2,73.3%,13.3%,46.7%,26.7%,0.88,46.7%,33.3%,20.0%,-0.4,-0.2%,-1.1,60%,,0%
117,Travis Blankenhorn\blanktr01,24,NYM,24,.292,79,.214,.217,4.2%,33.3%,4.2%,96.2,73.3%,13.3%,46.7%,26.7%,0.88,46.7%,33.3%,20.0%,-0.4,-0.2%,-1.1,50%,,0%
118,Richard Bleier\bleieri01,34,MIA,1,,,,,0.0%,0.0%,0.0%,54.4,0.0%,0.0%,0.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.2,,,
119,Xander Bogaerts\bogaexa01,28,BOS,603,.379,132,.333,.198,3.8%,18.7%,10.3%,89.6,43.1%,28.8%,40.2%,23.9%,0.67,33.1%,50.4%,16.5%,1.2,0.9%,19.4,34%,83%,48%
120,Alec Bohm\bohmal01,24,PHI,417,.298,77,.327,.095,1.7%,26.6%,7.4%,92.0,49.8%,28.2%,52.7%,16.5%,1.12,20.1%,56.0%,23.8%,-0.8,-0.8%,-11.7,33%,100%,24%
121,Skye Bolt\boltsk01,27,TOT,60,.122,-46,.098,.070,1.7%,25.0%,1.7%,84.0,27.3%,15.9%,50.0%,25.0%,1.10,38.6%,54.5%,6.8%,-0.9,-0.7%,-9.0,27%,100%,67%
122,Skye Bolt\boltsk01,27,SFG,1,.000,-131,,.000,0.0%,100.0%,0.0%,,,,,,,,,,0.0,0.0%,-0.2,,,
123,Skye Bolt\boltsk01,27,OAK,59,.124,-44,.098,.071,1.7%,23.7%,1.7%,84.0,27.3%,15.9%,50.0%,25.0%,1.10,38.6%,54.5%,6.8%,-0.9,-0.7%,-8.8,27%,100%,67%
124,Jorge Bonifacio\bonifjo01,28,PHI,12,.125,-44,.200,.000,0.0%,50.0%,8.3%,74.6,20.0%,20.0%,40.0%,40.0%,0.67,20.0%,40.0%,40.0%,0.0,0.0%,-1.1,0%,,
