Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
1,Cory Abbott\abbotco01,25,CHC,3,.267,56,.500,.000,0.0%,33.3%,0.0%,68.4,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.1,0%,,
2,José Abreu\abreujo02,34,CHW,659,.358,125,.293,.219,4.6%,21.7%,9.3%,92.0,49.4%,21.7%,47.3%,25.6%,0.90,25.2%,57.7%,17.1%,1.6,0.9%,30.1,28%,100%,51%
3,Ronald Acuna Jr.\acunaro01,23,ATL,360,.420,156,.311,.313,6.7%,23.6%,13.6%,93.8,54.9%,29.0%,31.8%,30.9%,0.47,33.2%,55.3%,11.5%,2.6,1.4%,22.4,41%,74%,67%
4,Willy Adames\adamewi01,25,TOT,555,.358,125,.331,.219,4.5%,28.1%,10.3%,89.5,44.7%,21.6%,37.1%,36.0%,0.59,30.7%,52.9%,16.4%,3.1,2.3%,16.9,32%,56%,63%
5,Willy Adames\adamewi01,25,TBR,142,.282,86,.276,.174,3.5%,35.9%,7.0%,88.5,44.4%,18.5%,30.9%,39.5%,0.45,25.9%,56.8%,17.3%,0.3,0.2%,-1.0,36%,33%,63%
6,Willy Adames\adamewi01,25,MIL,413,.384,138,.349,.236,4.8%,25.4%,11.4%,89.8,44.8%,22.6%,39.1%,34.9%,0.64,32.2%,51.7%,16.1%,2.8,2.2%,17.9,31%,67%,63%
7,Matt Adams\adamsma01,32,COL,40,.221,11,.222,.028,0.0%,22.5%,10.0%,82.2,29.6%,11.1%,51.9%,29.6%,1.08,29.6%,59.3%,11.1%,-0.3,-0.1%,-5.8,30%,,0%
8,Riley Adams\adamsri03,25,TOT,120,.341,113,.351,.162,1.7%,33.3%,12.5%,88.4,42.4%,25.4%,45.8%,28.8%,0.84,23.7%,59.3%,16.9%,0.9,-0.2%,0.7,26%,,36%
9,Riley Adams\adamsri03,25,TOR,30,.155,-19,.188,.071,0.0%,40.0%,6.7%,86.3,50.0%,25.0%,37.5%,37.5%,0.60,37.5%,56.3%,6.3%,-0.5,-0.3%,-6.5,40%,,0%
10,Riley Adams\adamsri03,25,WSN,90,.403,157,.415,.197,2.2%,31.1%,14.4%,89.2,39.5%,25.6%,48.8%,25.6%,0.95,18.6%,60.5%,20.9%,1.5,0.0%,7.2,24%,,42%
11,Jo Adell\adelljo01,22,LAA,140,.311,92,.298,.162,2.9%,22.9%,5.7%,85.8,32.0%,26.3%,46.5%,18.2%,0.88,27.3%,58.6%,14.1%,0.9,0.1%,7.8,35%,67%,50%
